date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-04-01,2027-04-01T23:40:55.989147+10:00,2027-04-02T05:30:55.989147+10:00,360.0,88.21,excellent
2027-04-02,2027-04-02T23:29:50.610974+10:00,2027-04-03T05:29:50.610974+10:00,370.0,88.49,excellent
2027-04-03,2027-04-03T23:28:45.576144+10:00,2027-04-04T05:28:45.576144+10:00,370.0,88.54,excellent
2027-04-04,2027-04-04T23:27:40.909821+10:00,2027-04-05T05:27:40.909821+10:00,370.0,88.33,excellent
2027-04-05,2027-04-05T23:16:36.637019+10:00,2027-04-06T05:26:36.637019+10:00,380.0,88.37,excellent
2027-04-06,2027-04-06T23:15:32.782602+10:00,2027-04-07T05:25:32.782602+10:00,380.0,88.55,excellent
2027-04-07,2027-04-07T23:14:29.371283+10:00,2027-04-08T05:34:29.371283+10:00,390.0,88.46,excellent
2027-04-08,2027-04-08T23:13:26.427620+10:00,2027-04-09T05:33:26.427620+10:00,390.0,88.21,excellent
2027-04-09,2027-04-09T23:02:23.976018+10:00,2027-04-10T05:32:23.976018+10:00,400.0,88.49,excellent
2027-04-10,2027-04-10T23:01:22.040720+10:00,2027-04-11T05:31:22.040720+10:00,400.0,88.54,excellent
2027-04-11,2027-04-11T23:00:20.645810+10:00,2027-04-12T05:30:20.645810+10:00,400.0,88.31,excellent
2027-04-12,2027-04-12T22:57:00+10:00,2027-04-13T05:37:00+10:00,410.0,88.24,excellent
2027-04-13,2027-04-13T22:54:00+10:00,2027-04-14T05:34:00+10:00,410.0,88.24,excellent
2027-04-14,2027-04-14T23:52:00+10:00,2027-04-15T05:32:00+10:00,350.0,88.44,excellent
2027-04-15,2027-04-15T22:46:20.945735+10:00,2027-04-16T05:36:20.945735+10:00,420.0,88.26,excellent
2027-04-17,2027-04-17T00:58:00+10:00,2027-04-17T05:38:00+10:00,290.0,88.53,excellent
2027-04-18,2027-04-18T02:03:00+10:00,2027-04-18T05:33:00+10:00,220.0,88.55,excellent
2027-04-19,2027-04-19T03:05:00+10:00,2027-04-19T05:35:00+10:00,160.0,88.32,excellent
2027-04-20,2027-04-20T04:06:00+10:00,2027-04-20T05:36:00+10:00,100.0,85.13,excellent
2027-04-24,2027-04-24T22:08:02.310679+10:00,2027-04-25T05:38:02.310679+10:00,460.0,88.43,excellent
2027-04-27,2027-04-27T21:55:30.738400+10:00,2027-04-27T22:05:30.738400+10:00,20.0,23.28,useful
2027-04-28,2027-04-28T21:54:42.022014+10:00,2027-04-28T23:04:42.022014+10:00,80.0,36.53,excellent
2027-04-29,2027-04-29T21:43:54.242359+10:00,2027-04-30T05:43:54.242359+10:00,490.0,88.5,excellent
2027-04-30,2027-04-30T21:43:07.418580+10:00,2027-05-01T05:43:07.418580+10:00,490.0,88.52,excellent
2027-05-01,2027-05-01T21:42:21.569401+10:00,2027-05-02T05:42:21.569401+10:00,490.0,88.24,excellent
2027-05-02,2027-05-02T21:31:36.713110+10:00,2027-05-03T05:41:36.713110+10:00,500.0,88.47,excellent
2027-05-03,2027-05-03T21:30:52.867534+10:00,2027-05-04T05:40:52.867534+10:00,500.0,88.54,excellent
2027-05-04,2027-05-04T21:30:10.050019+10:00,2027-05-05T05:40:10.050019+10:00,500.0,88.28,excellent
2027-05-05,2027-05-05T21:19:28.277406+10:00,2027-05-06T05:49:28.277406+10:00,520.0,88.44,excellent
2027-05-06,2027-05-06T21:18:47.566009+10:00,2027-05-07T05:48:47.566009+10:00,520.0,88.55,excellent
2027-05-07,2027-05-07T21:18:07.931593+10:00,2027-05-08T05:48:07.931593+10:00,520.0,88.31,excellent
2027-05-08,2027-05-08T21:07:29.389346+10:00,2027-05-09T05:47:29.389346+10:00,530.0,88.43,excellent
2027-05-09,2027-05-09T21:06:51.953863+10:00,2027-05-10T05:46:51.953863+10:00,530.0,88.55,excellent
2027-05-10,2027-05-10T21:06:15.639116+10:00,2027-05-11T05:46:15.639116+10:00,530.0,88.32,excellent
2027-05-11,2027-05-11T21:44:00+10:00,2027-05-12T05:44:00+10:00,490.0,88.25,excellent
2027-05-12,2027-05-12T22:52:00+10:00,2027-05-13T05:52:00+10:00,430.0,88.45,excellent
2027-05-13,2027-05-13T23:56:00+10:00,2027-05-14T05:46:00+10:00,360.0,88.23,excellent
2027-05-14,2027-05-14T20:44:01.843866+10:00,2027-05-15T05:54:01.843866+10:00,560.0,88.44,excellent
2027-05-16,2027-05-16T00:59:00+10:00,2027-05-16T05:49:00+10:00,300.0,88.33,excellent
2027-05-17,2027-05-17T01:59:00+10:00,2027-05-17T05:49:00+10:00,240.0,88.55,excellent
2027-05-18,2027-05-18T02:58:00+10:00,2027-05-18T05:48:00+10:00,180.0,76.0,excellent
2027-05-19,2027-05-19T03:58:00+10:00,2027-05-19T05:48:00+10:00,120.0,61.99,excellent
2027-05-24,2027-05-24T20:09:51.056940+10:00,2027-05-25T05:49:51.056940+10:00,590.0,88.45,excellent
2027-05-25,2027-05-25T19:59:32.737050+10:00,2027-05-25T20:59:32.737050+10:00,70.0,32.5,excellent
2027-05-26,2027-05-26T19:59:15.658504+10:00,2027-05-26T21:49:15.658504+10:00,120.0,43.93,excellent
2027-05-27,2027-05-27T19:58:59.821379+10:00,2027-05-27T22:48:59.821379+10:00,180.0,57.72,excellent
2027-05-28,2027-05-28T19:48:45.224778+10:00,2027-05-28T23:38:45.224778+10:00,240.0,69.46,excellent
2027-05-29,2027-05-29T19:48:31.866824+10:00,2027-05-30T05:58:31.866824+10:00,620.0,88.54,excellent
2027-05-30,2027-05-30T19:48:19.744645+10:00,2027-05-31T05:58:19.744645+10:00,620.0,88.24,excellent
